Symbol,O_Con,O_NFIB,O_MLL1,A_Con,A_NFIB,A_MLL1,NFIB,H3K4me3,TF,Adipo,Osteo,Cluster
Kcne4,1.678975403,-0.371128215,-6.099210734,2.942306276,-2.720007827,-4.742627351,1.566691849,2.145534855,0,0,0,cluster2
Kctd12,-0.267186455,2.738910402,-1.615717276,2.770986914,-1.357729763,-4.619288016,1.175018887,0,0,0,0,cluster3
Kctd19,3.735453772,1.590077661,-3.142736759,4.441538906,-0.797776686,-2.102308625,0,2.383927617,0,0,0,cluster1
Klhl6,3.570243126,-2.235867726,-7.441836253,1.411791572,1.758039461,-2.04218764,3.952336255,0,0,0,0,cluster1
Ldhb,2.717891599,5.855493294,-0.763788223,3.55879797,-1.168036956,-1.07017936,0.633718051,1.419004534,0,0,0,cluster3
Lgals12,9.340104216,-0.746121461,-2.387368991,7.219146487,-5.049315455,-5.849542555,1.650621769,0,0,0,0,cluster2
Lipe,2.043186785,3.863011234,-0.46845371,4.331887695,-3.904560443,-3.14783942,1.524237787,1.325545959,0,0,0,cluster3
Lmod1,0.669265571,3.387856593,-0.490788729,2.476170789,-1.551169569,-1.52351395,1.701751491,0,0,0,0,cluster3
Lpl,7.534318445,2.639650249,-7.722107438,10.80282029,-7.839440135,-9.362827032,1.280244459,0,0,0,0,cluster2
Lrg1,4.486022572,-1.68226313,-0.674339232,5.456185684,-2.549389054,-2.916656753,0,0,0,1,0,cluster3
Lrp3,2.937746004,-1.340228581,-8.552838536,3.184381066,-0.540618846,-4.399739637,1.266817237,1.620535065,0,0,0,cluster1
Lrrc36,2.729887677,-0.296506898,-1.863681855,2.82682906,-1.241960532,-1.23483271,3.055049105,0,0,0,0,cluster1
Lum,4.63821984,4.977725233,3.225296353,5.849196875,-0.249378003,-0.107453404,0,4.668524917,0,0,0,cluster3
Maf,3.977304185,5.612496004,0.460417653,4.3285577,-2.570852574,-1.854617112,7.05011332,2.727763331,1,0,0,cluster3
Map7d2,6.184563528,2.729328828,0.501371581,9.47338777,-2.313610404,-2.964232489,1.2076583,13.11160189,0,0,0,cluster3
Mc2r,8.16840216,-0.928701481,-0.347612117,6.678578105,-6.093709573,-3.724011674,1.589731435,1.993456714,0,0,0,cluster3
Mc5r,4.45588934,1.445734938,-0.665220638,5.302562493,-7.302656463,-5.710566142,0,1.291294126,0,0,0,cluster3
Mcam,-0.63936445,1.32897899,-1.410738366,1.848778033,-3.904367117,-2.731361128,3.084424578,4.767855234,0,0,0,cluster3
Mcrip2,1.933307781,2.721007695,-0.746439181,1.982948262,-1.720007827,-1.172771742,1.28324431,1.269806343,0,0,0,cluster3
Mdfi,3.821907122,1.383988902,-3.293212741,3.871223184,-1.701392153,-1.50161925,2.129721732,0.47891403,0,0,0,cluster1
Mep1a,2.623882593,1.742415603,-2.394696953,0.634183982,-0.464352952,-1.042187632,3.041225354,0,0,0,0,cluster1
Mfap5,0.577984857,3.707214422,-2.505597578,2.225023049,-2.962082614,-3.699299919,0,1.254698746,0,0,0,cluster3
Mfsd12,0.408699259,3.490371292,-0.219323709,1.853581788,-1.238178891,-1.499490859,2.06518471,0,0,0,0,cluster3
Mfsd4b1,1.61699582,0.493616178,-1.27708818,1.2349138,-0.028556893,0.791802416,2.676431909,0,0,0,0,cluster1
Mgll,-1.132355288,3.565949098,-1.505391106,3.093080179,-1.571405476,-3.282903659,2.350037773,1.096181002,0,0,0,cluster3
Mgst2,3.859507908,1.307398957,-2.255531212,2.914291901,-2.914385868,-2.129650471,1.388658684,2.817369002,0,0,0,cluster1
Mrap,5.530751475,0.162267289,-6.110176474,7.026501415,-6.441632872,-7.656897468,1.370855368,0,0,1,0,cluster2
Myo7a,3.267361996,-0.770966566,-1.419399813,5.219146487,-1.826923031,-2.564140336,2.004443983,0,0,0,0,cluster1
Nabp1,1.083588238,5.59312965,-0.52999873,3.046814366,-2.921701257,-2.975376715,1.723361034,1.541812926,0,0,0,cluster3
Ndrg2,6.490790607,1.410970159,-4.987197485,3.757566399,-4.172697871,-1.580607548,1.175018887,0.162540519,0,0,0,cluster1
Nkd1,2.641339789,-0.60631056,-3.720368656,2.482180888,-0.049315453,-2.264580056,2.401125551,0.249927895,0,0,0,cluster1
Nkd2,7.946845271,-2.057178961,-7.76210385,-0.588208429,4.980431891,-0.042187624,2.937547217,0.216720692,1,0,0,cluster1
Npb,2.501728325,-1.390533279,-1.899685909,1.996754066,0.173076965,-0.305222036,1.02437544,0,0,0,0,cluster1
Nr1h3,2.125083467,0.612280472,-0.474114949,5.42301882,-3.668225286,-2.76801267,2.990957166,0,1,0,0,cluster3
Ogn,1.304434417,9.851063626,-0.670033049,3.122690395,-1.121317347,-1.129196128,0,1.936459003,0,0,0,cluster3
Olfm2,4.580222598,4.046996381,-2.151448444,4.748074948,-0.930545663,1.628275812,2.880691464,0.567601814,0,0,0,cluster1
Olfml1,1.772761057,1.28978471,-3.034179993,4.804108993,-2.219240453,-1.264580055,0.475288538,3.575891425,0,0,0,cluster3
Olr1,4.119575119,-2.046904558,1.577505794,6.903644661,-4.73381363,-6.53404072,0,0,0,0,0,cluster3
Orm1,11.04600551,3.371041626,2.454749548,9.411791564,-5.01956811,-2.412831012,1.492591559,0,0,0,0,cluster3
Orm2,5.962455664,0.996637882,1.829871895,7.219146487,-4.634277953,-2.294953703,0,0,0,0,0,cluster3
Orm3,6.028299138,4.579597398,3.910982997,7.055647754,-4.470779221,-0.170343984,1.032259583,0,0,0,0,cluster3
Otor,-2.092921274,-0.781017538,-2.422873112,3.134257585,-0.623389637,-1.331694251,1.68908965,0,0,0,0,cluster3
P3h2,-0.120512674,2.330813603,-0.523893975,2.584918994,-1.184475037,-1.107627197,2.022125526,1.044903339,0,0,0,cluster3
Pank3,-0.113336784,6.837324576,0.691170025,1.456902794,-2.515207809,-1.635113511,1.904340954,1.412455282,0,0,0,cluster3
Paqr4,-0.88008978,4.473340642,-0.810447901,1.729239233,-1.420888338,-2.057979605,0,1.066493934,0,0,0,cluster3
Pcx,1.504539385,6.924826011,-0.589088197,3.940940645,-2.81467863,-2.313538959,2.398996894,1.64948527,0,0,0,cluster3
Pdk4,5.576520781,6.632206489,-0.436036117,2.320896578,-3.410116439,-1.160174784,2.350037773,3.666191714,0,0,0,cluster3
Pik3ap1,2.251702543,-1.046441772,-4.386278612,1.148757156,2.099076386,-0.779153231,2.229523016,0.37248869,0,0,0,cluster1
Pik3c2b,1.391342817,3.286263643,-0.176775078,1.924439856,-1.158999081,-1.221412194,1.801695626,1.082740033,0,0,0,cluster3
Pitpnc1,2.085336999,2.745081549,-1.048418431,0.605671294,-1.040702323,0.308817695,2.071743827,1.294031576,0,0,0,cluster1
Pkdcc,2.717368898,4.316439576,-1.898902395,1.681335076,-0.194804465,-0.165611467,2.811652336,1.22381017,0,0,0,cluster1
Plekhg4,1.305284564,3.603033867,-0.519606694,2.822724662,-1.652893631,-1.793611279,1.097582112,0,0,0,0,cluster3
Plin1,11.91711191,1.534981762,-3.749316779,12.02650141,-9.441632875,-7.612503358,1.461608859,0,0,0,0,cluster2
Plin4,2.409172568,8.226147224,-0.283276664,1.935291472,-1.752674287,-1.220544468,0,1.866709841,0,0,0,cluster3
Plpp3,2.42027745,6.847274112,-1.246944929,2.359447633,-1.581378395,-0.996528018,5.035795229,2.979909521,0,0,0,cluster1
Plppr3,3.041127755,3.742130524,-0.311699914,3.487079688,-1.461638567,-1.354975073,0,0,0,0,0,cluster3
Plxnc1,3.254278074,-0.191337789,-1.590068278,2.28626068,0.620535944,-1.179691157,3.084424578,0.57735747,0,0,0,cluster1
Pnpla2,1.748893549,5.388614446,-0.83710988,3.811143767,-4.498895692,-3.675724112,1.553068442,1.615424635,0,0,0,cluster3
Pnpla3,6.62332119,-0.545005161,-4.369582447,5.62124493,-5.036376397,-6.251640998,1.485656064,0,0,0,0,cluster2
Ppa1,-0.60514364,5.434329636,-1.091162131,1.254592965,-2.253838541,-1.92195018,2.169265637,0.207298054,0,0,0,cluster3
Pparg,0.628241511,5.312860608,-1.008441,1.817402193,-1.64539141,-2.08544684,3.818811382,3.150190065,1,1,0,cluster3
Ppp1r1a,6.373529702,-3.020700202,-6.19037213,6.581716566,-5.996848033,-7.212112634,1.047046533,0,0,0,0,cluster2
Ppp1r3c,2.988926713,-0.513996462,2.241578745,7.179975889,-2.135675737,-2.055484455,1.546077482,1.668749332,0,0,0,cluster3
Prickle1,2.75290846,-2.313912175,-7.180460437,1.691899478,-2.914385868,-5.129650473,1.286336465,2.86071314,0,0,0,cluster1
Psmb8,1.573279497,0.48218864,-2.075605708,2.99675406,2.124167368,4.147636926,0.928040395,1.322789105,0,0,0,cluster1
Ptgfr,2.894466238,2.648382741,1.454204957,3.78102537,-3.863581502,-1.084159903,1.492591559,0,0,0,0,cluster3
Ptn,0.294906416,9.01590664,-0.48533041,3.869525641,-1.339498498,-1.212329792,1.618058795,2.681918569,0,0,0,cluster3
Pxmp2,1.160245769,1.054256112,0.24149544,2.14359545,-4.366081842,-1.908921102,2.350037773,0,0,0,0,cluster3
Pxmp4,0.727722047,4.820339086,-0.787078151,2.115204596,-1.339073542,-1.166176349,2.711582046,2.160434403,0,0,0,cluster3
Rab17,3.440270409,-0.332233084,-1.31414941,-0.003245939,1.495005064,0.76516729,2.144409468,0,0,0,0,cluster1
Ramp2,3.539902475,1.234916681,-2.155751326,5.672319111,-3.028556893,-2.042187633,1.150791693,0,0,0,0,cluster2
Rarres2,6.518581158,4.991069652,-1.463313126,9.27907031,-2.740005461,-1.238810123,0.718700872,0,0,1,0,cluster3
Rassf2,3.405556289,6.876096333,-0.858538119,4.266214736,-1.632102688,-1.44500718,5.483421471,0,0,0,0,cluster3
Rcsd1,1.954287798,0.565217529,-1.477305617,0.996754062,0.173076968,0.016706056,2.691172289,0,0,0,0,cluster1
Retn,9.905965035,-0.481754593,-9.720627728,8.977845603,-8.39297707,-8.023279176,0.968180356,0,0,0,0,cluster2
Rgcc,5.827874947,3.204730393,-2.22318788,7.996754061,-2.693067285,-3.672953822,1.827807157,1.282425348,0,0,0,cluster2
Rhobtb1,2.1286909,4.118415266,-0.822872393,1.793127845,-1.322970974,-1.604402499,3.21171829,1.090759334,0,0,0,cluster3
Rilp,2.366257534,0.304057549,-1.231035768,0.96818491,-2.885816723,-2.68604382,1.526091603,0,0,0,0,cluster1
Rnf125,2.853261133,0.792987951,-0.860139644,3.871223181,-3.527362749,-2.844506964,2.182177932,1.505638495,0,0,0,cluster3
Rnf130,1.484638459,-0.219480787,-1.580882881,1.210157699,3.070317394,-2.194190727,1.898107432,0.402690476,0,0,0,cluster1
Rrad,0.270129776,0.931395727,-1.910764897,1.0860214,-1.2483868,-1.656296479,1.122884943,1.489954761,0,0,0,cluster3
Rspo2,1.511977933,7.613248255,-1.738685709,0.511645939,0.438711495,-0.314846009,1.626949228,10.13169237,0,0,1,cluster1
Runx2,1.833298488,5.540325873,-1.725713617,0.205145804,-0.394450939,-1.188194007,2.461944334,2.546468136,1,0,1,cluster1
S100a1,1.073559536,4.122034452,-0.447797225,2.426845907,-2.957454595,-1.677954504,1.472312822,1.289811584,0,0,0,cluster3
S100a8,2.726038871,-2.205389262,1.402533444,5.112231282,-4.52736275,-5.74262735,0,0,0,0,0,cluster3
Satb2,2.135890824,2.565484599,-1.672201843,-0.847295661,0.049694553,-0.054061733,2.937547217,2.145534855,1,0,1,cluster1
Scd1,-0.870540105,7.203215205,-1.042032043,3.281032936,-4.742061685,-4.400590701,4.165976053,1.331837113,0,1,0,cluster3
Scp2,-0.299830754,6.452087843,0.045288905,1.684901,-1.876886683,-1.155370404,2.350037773,1.383529421,0,0,0,cluster3
Scrg1,5.324095015,-1.370037516,-2.756584037,2.73371966,-2.148851128,-0.042187634,0.578183897,0,0,0,0,cluster1
Selenbp1,3.434222933,2.564641237,-1.020517302,5.31386514,-3.880999704,-0.891149875,1.277194442,0,0,0,0,cluster1
Sema3g,0.561408708,-1.276693321,-1.661157593,4.776363992,-1.513423559,-3.72868816,1.239248215,0,0,0,0,cluster3
Sema6b,1.667637595,-0.075026653,-1.280944268,0.485792143,-1.341496204,-0.720259538,1.083569453,0.595981904,0,0,0,cluster1
Sh2b2,0.967403337,1.944679906,-0.085002007,2.304876357,-2.52736275,-2.137765293,2.271703181,1.239642361,0,1,0,cluster3
Shroom1,1.981351645,1.260858477,-1.263084321,0.897218389,-0.933838235,-0.991561559,1.562715474,1.26751081,0,0,0,cluster1
Shroom3,2.577287421,1.089937835,-2.830603212,-0.670670599,-0.52206845,-1.042187633,2.169265637,1.589285078,0,0,0,cluster1
Slc11a1,1.271789062,0.456596576,-1.651530312,-1.638834511,0.950684546,-0.042187632,3.163512387,1.957391548,0,0,0,cluster1
Slc16a4,1.510840333,3.479875514,-1.595868615,2.098292087,-1.606532963,-0.72306361,0,0,0,0,0,cluster1
Slc16a7,6.581949601,-0.130242422,-6.215692124,1.411791572,-0.826923039,-0.457225145,0.72851171,9.535710468,0,0,0,cluster1
Slc16a9,0.96592416,3.391512066,-0.766838223,2.632121515,-1.298791754,-1.099018855,1.822478273,0.394462843,0,0,0,cluster3
Slc1a6,1.882611646,-1.133887402,-3.607527468,0.089863466,1.173076969,-3.042187623,0,1.05786788,0,0,0,cluster1
Slc22a17,3.529845197,1.240506172,-7.023930324,2.375265685,-0.254344255,-4.327589851,0.977281081,0,0,0,0,cluster1
Slc24a4,1.751716068,-1.814431842,-7.556675044,2.73371966,-2.148851128,0.220846771,1.264035469,0.158928508,0,0,0,cluster1
Slc25a10,-0.492023434,5.764664207,-0.352892724,1.279093528,-1.348627998,-1.406351322,1.205147576,1.109044587,0,0,0,cluster3
Slc25a34,4.121752678,3.865719345,-1.641068956,3.726106472,-2.804202955,-1.565511068,0,0,0,0,0,cluster3
Slc25a48,10.07982354,-0.207867606,-3.537596009,1.411791572,-0.826923039,1.765167283,1.650026522,0,0,0,0,cluster1
Slc26a4,9.145170495,-0.75899937,-1.324042042,2.996754064,-2.411885532,-2.627150123,2.029578077,0.357589143,0,0,0,cluster1
Slc2a4,4.947675977,-0.535854907,-2.731120081,8.360158796,-5.453362166,-6.990554864,1.687206607,1.231695935,0,1,0,cluster2
Slc36a2,11.05158391,0.755434257,-7.544829702,6.62124493,-6.036376398,-4.9297129,1.527524553,0,0,0,0,cluster2
Slc5a6,0.350905334,3.238117379,-0.49786376,1.670709859,-2.025468711,-1.762079714,3.52505666,1.407784498,0,0,0,cluster3
Slc6a6,-0.238149219,8.101263432,-0.673630347,1.135350122,-1.167046091,-1.341869267,2.761294384,3.178570156,0,0,0,cluster3
Slc7a13,2.227000015,-0.323518277,-2.472141031,1.581716567,0.810506887,-0.042187635,2.982740251,0,0,0,0,cluster1
Slc9a3r1,1.422371687,3.511496588,-1.13745658,1.097058967,-2.120422718,-1.611090282,1.166297424,1.082671998,0,0,0,cluster2
Sncg,1.176911194,3.639832313,-3.062927625,1.775227864,-1.000641606,0.133115548,1.000444652,0,0,0,0,cluster1
Sned1,3.413739837,9.810126729,2.347898679,7.00296589,-2.622798456,-1.741961652,2.657780815,2.050878906,0,0,0,cluster3
Sorbs1,2.582521774,4.495820815,0.816584911,2.569332838,-1.322333947,-1.588582477,2.676431909,1.661044623,0,0,0,cluster3
Sort1,2.827778859,3.436590682,-1.150578342,4.922226083,-2.834857213,-1.27649775,2.585041551,1.324404232,0,0,0,cluster2
Sparcl1,2.875476255,3.165649375,0.845146516,5.222822141,-1.913927073,-1.349960353,0.532675229,1.62107078,0,0,0,cluster3
Spp1,2.670309087,8.74142345,-2.186391898,0.051839783,-1.49467288,1.367157541,0,1.64974701,0,0,1,cluster1
Srd5a2,3.445375855,-2.126599928,-7.317059512,2.411791562,-0.826923025,-1.04218763,3.253898455,0.332186635,0,0,0,cluster1
Srgn,2.383817421,0.216201409,-4.146171939,1.959279357,-0.551288589,-1.705152646,1.549228723,5.562497773,0,0,0,cluster1
Steap4,-1.41518283,3.121220864,-1.643805588,4.436007798,-2.55345872,-3.143571731,0,1.271428062,0,0,0,cluster3
Strip2,2.511696782,-0.780656365,-2.126440378,3.385796351,-2.28635465,-2.736084504,0,0,0,0,0,cluster1
Sult1a1,9.122112893,6.214328338,0.0636936,8.307475026,-3.697071406,-1.368015491,1.478903082,16.09151141,0,0,0,cluster3
Susd2,-0.541200129,0.399139886,-1.219785708,3.365987871,-1.321687723,-3.138402947,0,0,0,0,0,cluster3
Synm,0.829196391,4.308502595,-1.810506702,2.20548151,-1.497830962,-2.362532378,1.649545745,1.420113131,0,0,0,cluster3
Synpo2,2.458564157,3.239781624,-1.548892654,3.110053626,-2.49717072,-1.499985703,3.035465457,2.724488705,0,0,0,cluster3
Tbkbp1,4.636169829,3.136788285,-1.38513683,3.549295085,-1.038427137,0.198820467,0,0,0,0,0,cluster1
Tfcp2l1,5.152529944,0.28679634,-1.946533103,4.935353516,-4.157839908,-2.565749588,2.801968114,0.504292381,0,0,0,cluster1
Tgm5,0.22981639,-0.371563054,1.366931995,3.170783462,-2.038427136,-1.618976202,2.663376143,0,0,0,0,cluster3
Thrsp,5.681275741,0.602373788,-10.82089341,7.206207431,-5.621338894,-6.251641004,2.129721732,0,1,0,0,cluster2
Timp4,9.429252859,2.596215248,-1.975399598,5.541074582,-2.956206049,-1.042187632,0,0,0,0,0,cluster1
Tmcc3,0.97303802,1.698189986,-0.05563829,1.427166787,-1.884118433,-1.901443656,1.944858847,1.342464289,0,0,0,cluster3
Tmem120b,0.539522579,2.670934669,-0.539002328,1.520316018,-1.432947148,-1.877693595,2.585041551,2.483257934,0,0,0,cluster3
Tmem229b,2.538094587,1.69231391,-1.300936922,2.79645541,0.476469112,1.096710473,1.436134195,1.214760931,0,0,0,cluster1
Tnfrsf21,5.644302217,4.309500366,-2.451755468,4.152873264,-1.889932829,0.84899888,1.869348229,1.0377587,0,0,0,cluster1
Tnmd,-2.029277029,2.424975788,-2.801242759,1.11440565,-1.558106273,-4.417227062,0.715228888,19.07142094,0,0,0,cluster3
Tppp3,2.354174282,4.235958342,-1.15138273,5.245886331,-2.498746372,-1.70064375,1.331688072,0,0,0,0,cluster2
Trf,2.436124728,-0.00946508,-1.585840845,4.112231284,-2.527362747,-0.572702351,1.30854376,1.321781649,0,0,0,cluster1
Trim67,8.39593711,-1.477292616,-2.688097761,4.996754066,-4.411885533,-4.042187639,1.446177091,1.974190058,0,0,0,cluster1
Trp63,-0.527959187,2.433368931,0.96510216,2.207650844,-2.705244475,-1.349760434,2.088922465,0,1,0,0,cluster3
Tspan18,2.221152601,3.214825508,-4.850621113,5.647679825,-0.140813808,-1.79129379,4.700075547,1.43035657,0,0,0,cluster1
Tst,-1.315827613,2.14690054,0.289599051,1.785766404,-1.292045762,-1.302951865,0,1.053832586,0,0,0,cluster3
Ttc38,0.603310846,1.269922019,-1.36377314,1.411791561,-1.756533704,-1.636195273,1.092692723,1.23780857,0,0,0,cluster3
Twist2,1.77039022,2.80546596,-3.602053441,-0.990306883,-0.606797217,0.254148749,2.723907419,3.405610881,1,0,1,cluster1
Ubd,2.088979697,-0.731534493,-2.688097761,4.981647173,-3.226853639,-3.152611622,0,0,0,0,0,cluster2
Ucp3,7.434775797,-2.310166321,-3.929072269,3.733719659,-3.148851127,-4.364115727,0.87483158,0,0,0,0,cluster1
Vit,6.199748593,-0.703155286,-3.631982642,5.73371966,-3.148851126,-2.904684107,1.612235217,3.575891425,0,0,0,cluster1
Wdr93,0.785999524,0.036236678,0.275231333,4.47068525,-3.470779221,-2.226612204,0.921782058,0,0,0,0,cluster3
Wfdc21,2.965162983,-1.279147105,-5.25894298,6.769343569,-6.184475037,-5.077811539,2.844782568,0,0,1,0,cluster2
Wnk4,4.131603196,4.410251327,0.300859247,5.688359122,-4.138256011,-1.83455567,1.672769943,0.119196381,0,0,0,cluster3
Zbtb16,13.37408165,3.16256733,-2.751497723,7.312658378,-7.727789839,-1.29919825,2.790669856,0.476785523,0,0,0,cluster2
Zdhhc23,3.38614886,-0.612500884,-1.821897328,-0.910136528,-0.826923039,-0.04218764,0.914494337,0,0,0,0,cluster1
Zfp467,1.696259905,1.092510171,-1.521296701,1.197666756,-0.612798226,-0.853153808,1.531085216,1.030471938,1,0,0,cluster1
Zfp969,4.531718222,-0.512474467,-5.111275751,-2.395563362,1.758039466,1.957812369,0,0,0,0,0,cluster1
Zfp977,2.173337485,-0.208409557,-1.607900727,2.996754071,0.173076968,-1.305222038,0,0,0,0,0,cluster1